handle,dc.collection,dc.identifier,dc.title,dc.creator,dc.publisher,dc.contributor,dc.rights,dc.description,dc.coverage.spatial,dc.coverage.temporal,dc.note,dc.note.internal,dc.relation.other,dc.date.issued,dc.location,dc.language,dc.type,dc.format,dc.format.numberofscans,dc.format.numberofpages,dc.identifier.projectcode,dc.identifier.other,dc.catalogedby,dc.validatedby,dc.date.cataloged,dc.date.validated,dc.date.acquisition,dc.subject,dc.source,dc.relation,dc.rights.holder,dc.provenance,dcterms.accrualMethod,URL
123456789/201232,"City, Society, and Economy / Households and Families / Emirzé / Documents",AFMEMZDOC001,Cannes Belediyesi tarafından verilen Marie Emirzé'nin vefat belgesi - Marie Emirze's death certificate delivered by Cannes Municipality,,,,Open Access,"Jean Emirzé ve Elise Prindel'in kızı Marie Emirzé'nin doğum yeri ve tarihi: İstanbul, 12 Ocak 1896. Marcel Raymond Calixte Merle'nin eşi Marie Emirzé 4 Nisan 1977'de Cannes'da vefat etti. - Place and date of birth of Marie Emirzé, daughter of Jean Emirzé and Elise Prindel: Constantinople, January 12, 1896. Marie Emirzé, wife of Marcel Raymond Calixte Merle, died in Cannes at April 4, 1977.",,,,"Emirzé Arşivi, Anita Saban tarafından 2014 yılında SALT Araştırma'ya bağışlandı. - Emirzé Archive was donated by Anita Saban to SALT Research in 2014.",,1980-06-23,SALT Research,Fransızca - French,Mektup - Letter,Baskı - Print,1,1,,131996,Sinem Gülmez,,2019-08-07,,2014-00-00,,,,,"Emirzé Arşivi, Anita Saban tarafından 2014 yılında SALT Araştırma'ya bağışlandı. - Emirzé Archive donated by Anita Saban to SALT Research in 2014.",Bağış - Donation,https://archives.saltresearch.org/handle/123456789/201232
123456789/201233,"City, Society, and Economy / Households and Families / Emirzé / Photographs and Postcards",AFMEMZH001,Marguerite Emirzé'nin stüdyo fotoğrafı - Studio photograph of Marquerite Emirzé,,,,Open Access,,,,,"Fotoğraftaki kişinin, Marguerite Emirzé olduğu bilgisi Anita Saban'dan elde edildi. Emirzé Arşivi, Anita Saban tarafından 2014 yılında SALT Araştırma'ya bağışlandı. - Anita Saban was informed that the person in the photograph was Marguerite Emirzé. Emirzé Archive was donated by Anita Saban to SALT Research in 2014.",,,SALT Research,,Fotoğraf - Photograph,"17-22,9 cm; Baskı - Print; Siyah beyaz - Black&White; Renkli - Colored",1,1,,131948,Sinem Gülmez,,2019-08-07,,2014-00-00,,,,,"Emirzé Arşivi, Anita Saban tarafından 2014 yılında SALT Araştırma'ya bağışlandı. - Emirzé Archive donated by Anita Saban to SALT Research in 2014.",Bağış - Donation,https://archives.saltresearch.org/handle/123456789/201233
123456789/201234,"City, Society, and Economy / Households and Families / Emirzé / Photographs and Postcards",AFMEMZH002,Ankara Kalesi ve Bentderesi'nin görünümleri - Views of Ankara Castle and Bentderesi,,,,Open Access,,,,,"Emirzé Arşivi, Anita Saban tarafından 2014 yılında SALT Araştırma'ya bağışlandı. - Emirzé Archive was donated by Anita Saban to SALT Research in 2014.",,,SALT Research,,Fotoğraf - Photograph,"13-12,5 cm; Baskı - Print; Siyah beyaz - Black&White",5,5,,131949,Sinem Gülmez,,2019-08-07,,2014-00-00,Ankara Kalesi; Ankara Castle; Ankara; Bentderesi,,,,"Emirzé Arşivi, Anita Saban tarafından 2014 yılında SALT Araştırma'ya bağışlandı. - Emirzé Archive donated by Anita Saban to SALT Research in 2014.",Bağış - Donation,https://archives.saltresearch.org/handle/123456789/201234
123456789/201235,"City, Society, and Economy / Households and Families / Emirzé / Photographs and Postcards",AFMEMZH003,Genç bir adam otomobil kullanırken - A young man driving a car,,,,Open Access,,,,,"Emirzé Arşivi, Anita Saban tarafından 2014 yılında SALT Araştırma'ya bağışlandı. - Emirzé Archive was donated by Anita Saban to SALT Research in 2014.",,,SALT Research,,Fotoğraf - Photograph,"8,6-11,4 cm; Baskı - Print; Siyah beyaz - Black&White",1,1,,131950,Sinem Gülmez,,2019-08-07,,2014-00-00,Ahşap ev; Wooden house,,,,"Emirzé Arşivi, Anita Saban tarafından 2014 yılında SALT Araştırma'ya bağışlandı. - Emirzé Archive donated by Anita Saban to SALT Research in 2014.",Bağış - Donation,https://archives.saltresearch.org/handle/123456789/201235
123456789/201236,"City, Society, and Economy / Households and Families / Emirzé / Photographs and Postcards",AFMEMZH004,Galata Rıhtımı'nda balıkçılar - Fishermen at Galata Pier,,,,Open Access,,"Karaköy, İstanbul",,,"Emirzé Arşivi, Anita Saban tarafından 2014 yılında SALT Araştırma'ya bağışlandı. - Emirzé Archive was donated by Anita Saban to SALT Research in 2014.",,,SALT Research,,Fotokart - Photocard,"11,1-7,2 cm; Baskı - Print; Siyah beyaz - Black&White",1,1,,131951,Sinem Gülmez,,2019-08-07,,2014-00-00,Galata Rıhtımı; Galata Pier; Balıkçılar; Fisherman; Fishermen,,,,"Emirzé Arşivi, Anita Saban tarafından 2014 yılında SALT Araştırma'ya bağışlandı. - Emirzé Archive donated by Anita Saban to SALT Research in 2014.",Bağış - Donation,https://archives.saltresearch.org/handle/123456789/201236
123456789/201237,"City, Society, and Economy / Households and Families / Emirzé / Photographs and Postcards",AFMEMZH005,İki küçük kızın stüdyo fotoğrafı - Studio photograph of two little girls,,,,Open Access,,,,,"Emirzé Arşivi, Anita Saban tarafından 2014 yılında SALT Araştırma'ya bağışlandı. - Emirzé Archive was donated by Anita Saban to SALT Research in 2014.",,,SALT Research,,Fotoğraf - Photograph,"10,2-13,7 cm; Baskı - Print; Siyah beyaz - Black&White",1,1,,131952,Sinem Gülmez,,2019-08-07,,2014-00-00,,,,,"Emirzé Arşivi, Anita Saban tarafından 2014 yılında SALT Araştırma'ya bağışlandı. - Emirzé Archive donated by Anita Saban to SALT Research in 2014.",Bağış - Donation,https://archives.saltresearch.org/handle/123456789/201237
123456789/201238,"City, Society, and Economy / Households and Families / Emirzé / Photographs and Postcards",AFMEMZH006,[Lili Houger'in] Margorete Emirzé'ye Jean Emirzé eliyle gönderidiği kartpostal - Postcard sent from [Lili Houger] to Margorete Emirzé via Jean Emirzé,,,,Open Access,"Adres: - Address: ""Haïdar Pacha, Anatolische Eisenbahn""",,,,"Emirzé Arşivi, Anita Saban tarafından 2014 yılında SALT Araştırma'ya bağışlandı. - Emirzé Archive was donated by Anita Saban to SALT Research in 2014.",,,SALT Research,Almanca - German,Kartpostal - Postcard,"8,6-13,7 cm; El yazısı - Handwriting; Baskı - Print; Siyah beyaz - Black & White",2,1,,131953,Sinem Gülmez,,2019-08-07,,2014-00-00,Marguerite Emirzé; Haydarpaşa,,,,"Emirzé Arşivi, Anita Saban tarafından 2014 yılında SALT Araştırma'ya bağışlandı. - Emirzé Archive donated by Anita Saban to SALT Research in 2014.",Bağış - Donation,https://archives.saltresearch.org/handle/123456789/201238
123456789/201239,"City, Society, and Economy / Households and Families / Emirzé / Photographs and Postcards",AFMEMZH007,Marguerite Emirzé'ye gönderilen kartpostal - Postcard sent to Marguerite Emirzé,,,,Open Access,"Kartpostalın arka yüzünde Pera damgası ve 10 kuruşluk pullar yer almaktadır. Adres: ""Marg. Emirzé, Sabun Fabrikası Sokağı"". - There are stamps of ""Pera"" and stamps of 10 piastres on the back ground of the postcard. Address: ""Marg. Emirzé, Soap Factory Street.""",,,,"Emirzé Arşivi, Anita Saban tarafından 2014 yılında SALT Araştırma'ya bağışlandı. - Emirzé Archive was donated by Anita Saban to SALT Research in 2014.",,,SALT Research,Almanca - German; Osmanlı Türkçesi - Ottoman Turkish,Kartpostal - Postcard,"8,6-13,6 cm; El yazısı - Handwriting; Baskı - Print; Siyah beyaz - Black & White",2,1,,131954,Sinem Gülmez,,2019-08-07,,2014-00-00,,,,,"Emirzé Arşivi, Anita Saban tarafından 2014 yılında SALT Araştırma'ya bağışlandı. - Emirzé Archive donated by Anita Saban to SALT Research in 2014.",Bağış - Donation,https://archives.saltresearch.org/handle/123456789/201239
123456789/201240,"City, Society, and Economy / Households and Families / Emirzé / Photographs and Postcards",AFMEMZH008,Genç bir kadının stüdyo fotoğrafı - Studio photograph of a young woman,"Sébah & Joaillier Photographers, Constantinople",,,Open Access,,,,,"Emirzé Arşivi, Anita Saban tarafından 2014 yılında SALT Araştırma'ya bağışlandı. - Emirzé Archive was donated by Anita Saban to SALT Research in 2014.",,,SALT Research,İngilizce - English,Kartpostal - Postcard,"8,1-13,5 cm; Baskı - Print; Siyah beyaz - Black&White",2,1,,131955,Sinem Gülmez,,2019-08-07,,2014-00-00,,,,,"Emirzé Arşivi, Anita Saban tarafından 2014 yılında SALT Araştırma'ya bağışlandı. - Emirzé Archive donated by Anita Saban to SALT Research in 2014.",Bağış - Donation,https://archives.saltresearch.org/handle/123456789/201240
123456789/201241,"City, Society, and Economy / Households and Families / Emirzé / Photographs and Postcards",AFMEMZH009,Margorete Emirzé'ye Jean Emirzé eliyle gönderilen kartpostal - Postcard sent to Margorete Emirzé via Jean Emirzé,,,,Open Access,"Kartpostalda Ortaköy, Kadıköy ve Haydarpaşa damgaları ile 10 kuruşluk pullar yer almaktadır. Adres: ""Haidar Pacha"" - There are stamp of ""Ortakeuy"", ""Kadıköy"" and ""Haydarpaşa"", and stamps of 10 piastres on the postcard. Address: ""Haïdar Pacha"".",,,,"Emirzé Arşivi, Anita Saban tarafından 2014 yılında SALT Araştırma'ya bağışlandı. - Emirzé Archive was donated by Anita Saban to SALT Research in 2014.",,1914-12-24,SALT Research,Almanca - German; Osmanlı Türkçesi - Ottoman Turkish,Kartpostal - Postcard,"13,4-8,5 cm; El yazısı - Handwriting; Baskı - Print; Siyah Beyaz - Black & White",2,1,,131956,Sinem Gülmez,,2019-08-07,,2014-00-00,Marguerite Emirzé,,,,"Emirzé Arşivi, Anita Saban tarafından 2014 yılında SALT Araştırma'ya bağışlandı. - Emirzé Archive donated by Anita Saban to SALT Research in 2014.",Bağış - Donation,https://archives.saltresearch.org/handle/123456789/201241
