handle,dc.collection,dc.identifier,dc.title,dc.creator,dc.publisher,dc.contributor,dc.rights,dc.description,dc.coverage.spatial,dc.coverage.temporal,dc.note,dc.note.internal,dc.relation.other,dc.date.issued,dc.location,dc.language,dc.type,dc.format,dc.format.numberofscans,dc.format.numberofpages,dc.identifier.projectcode,dc.identifier.other,dc.catalogedby,dc.validatedby,dc.date.cataloged,dc.date.validated,dc.date.acquisition,dc.subject,dc.source,dc.relation,dc.rights.holder,dc.provenance,dcterms.accrualMethod,URL
123456789/31514,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB070078,"Credit transfer receipt from Aurora Fabiato to Balilla Ciappei, confectionery owner, relating to the payment for the cake as present for Elena Pecci on occasion of her name day.",,,,Open Access,,,,,,,1933-08-08,SALT Research,Türkçe - Turkish,Makbuz - Receipt,Handwritten; Typewritten,1,,,82690,Emiliano Bugatti,,2011-00-00,,,From Istanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31514
123456789/29417,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB028047,(drafts) Account,,,,Open Access,Notes on restoration of repayments that Sp. should claim.,,,,,,1932-06-01; 1938-04-01,SALT Research,Fransızca - French,Belge - Document,Handwritten,2,,,82064,Çiçek İlengiz,,2011-00-00,,,İstanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/29417
123456789/29421,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB028061,Receipt from Turkish postal services (Aurora Fabiato),,,,Open Access,"Unless the requested tax (10 gold lira) is paid, the bones of Aurora's grandmother (Ortancia-Veatrike Culiani) are going to be excavated and placed in a box in the same cemetery. Waits briefing for the case of the family furniture",,,,,,1954-11-19,SALT Research,Türkçe - Turkish,Belge - Document,Handwritten,1,,,82078,Chistos Kyriakopoulos,,2011-00-00,,,Geneve,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/29421
123456789/29426,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029022,"Letter, K. Georgakopoulos to G. Fabiato",,,,Open Access,Collected 9.500 greek dr. from Laiki Bank and he will contact Anagnostaras for Fabiato's 2.500 greek dr. dept,,,,,,1931-08-28,SALT Research,Yunanca - Greek,Mektup - Letter,"13,8-21,3 cm; Handwritten",2,,,82115,Chistos Kyriakopoulos,,2011-00-00,,,Athens,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/29426
123456789/30456,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029191,"(Copy) Letter, Sp. Fabiato to A. Malesko asking for details on his items",,,,Open Access,Search for two tableclothes in Athens.,,,Upper left corner: S.F. monogram,,,1938-12-02,SALT Research,Fransızca - French,Mektup - Letter,"20,3-25,4 cm; Handwritten",1,,,82284,Çiçek İlengiz,,2011-00-00,,,Beyoğlu,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30456
123456789/29447,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029183,Sp. Fabiato draft,,,,Open Access,Summary of the letters given to D. Gunara regarding Sp. Fabiato's cases.,,,,,,1938,SALT Research,Yunanca - Greek; Fransızca - French,Belge - Document,"16,4-19,6 cm; Handwritten",1,,,82276,Çiçek İlengiz - Chistos Kyriakopoulos,,2011-00-00,,,Istanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/29447
123456789/30480,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029300,"(Draft) letter, Sp. Fabiato to G. Demetriou extending his gratitude for the mailed letter of procuration",,,,Open Access,,,,,,,1940-02-01,SALT Research,Yunanca - Greek,Mektup - Letter,"16,6-20,6 cm; Handwritten",1,,,82393,Chistos Kyriakopoulos,,2011-00-00,,,Büyükada; İstanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30480
123456789/29464,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029276,"(Draft) letter, Sp. Fabiato to Ioannes Fabiato",,,,Open Access,French draft letter of a Greek letter dated 4/11/1939.,,,,,,1939-11-01,SALT Research,Fransızca - French,Mektup - Letter,"14,4-21,5 cm; Handwritten",1,,,82369,Çiçek İlengiz,,2011-00-00,,,Büyükada; İstanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/29464
123456789/29474,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB030007,"Büyükada P.T.T. Müdürü'nün Aurora Fabiato'ya, kendisine ıhlamur göndermesini rica eden mektubu.",,,,Open Access,,,,,,,1946-06-21,SALT Research,Türkçe - Turkish,Mektup - Letter,"14,9-20,9 cm; Typewritten",1,,,82436,Çiçek İlengiz,,2011-00-00,,,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/29474
123456789/34380,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB082003,Receipts of membership card of the Partito Nazionale Fascista (National Fascist Party) Athens Branch belonging to Spiridirne (?) Fabiato for the year 1933.,,,,Open Access,,,,,,,1933-03-02,SALT Research,İtalyanca - Italian,Makbuz - Receipt,"10-11,5 cm; Handwritten; Printed",1,,,82904,Francesco Malfatti,,2011-00-00,,,Athens,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34380
