handle,dc.collection,dc.identifier,dc.title,dc.creator,dc.publisher,dc.contributor,dc.rights,dc.description,dc.coverage.spatial,dc.coverage.temporal,dc.note,dc.note.internal,dc.relation.other,dc.date.issued,dc.location,dc.language,dc.type,dc.format,dc.format.numberofscans,dc.format.numberofpages,dc.identifier.projectcode,dc.identifier.other,dc.catalogedby,dc.validatedby,dc.date.cataloged,dc.date.validated,dc.date.acquisition,dc.subject,dc.source,dc.relation,dc.rights.holder,dc.provenance,dcterms.accrualMethod,URL
123456789/30351,"City, Society, and Economy / Households and Families / Hüdaizâde / Documents",AFMHZDOC001,Molla İsmail Bin Hendeki'ye Girit’in Kandiye şehrindeki bir konağın bırakılmasını konu alan mukaveledir.,,,,Open Access,Giritin Kandiye şehrinin Yeni Camişerifi Mahallesinde bulunan konağın Kaputaki Molla İsmail Bin Hendeki’ye bırakılmasını konu alan mukaveledir. Sözleşme yapılırken Curaki Halil Ağa Bin Curi şahid olarak bulunmuştur.,,,20 Teşrin-i Sani 1892,,,1809-10-03,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,33-22 cm; Handwritten,3,,,66022,UMITS,,20.10.2009,,20.10.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30351
123456789/30352,"City, Society, and Economy / Households and Families / Hüdaizâde / Documents",AFMHZDOC004,Mustafa Hüdaizade’nin Girit’in Kandiye şehrindeki Sivri Çeşme Çarşısı’nda bulunan dükkanının borcu nedeniyle Panyutaki Dahanı Mustafa Ağa’ya devrini konu alan mahkeme ilamıdır. Davaya hümaylaki Haydar Bin Ahmed kefil olarak katılmıştır. 5 Kanun-i Sani 1892],,,,Open Access,,,,,,,1892-01-05,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,34-21 cm; Handwritten,2,,,66025,UMITS,,20.10.2009,,20.10.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30352
123456789/30353,"City, Society, and Economy / Households and Families / Hüdaizâde / Documents",AFMHZDOC015,"Ismail Aga Kalathakis, inhabitant of the Village Petrokefalo of the province of Malevizi sells to Mustafa Aga Hudaydakis, resident of Iraklio, a vineyard for the price of 4,000 gurus.",,,,Open Access,"The vineyard is located at the site Valinas Sopata or Milia of the periphery of the aforementioned village, its size is trirty workers work and it contains about fifteen little olive trees and other trees as well as other trees.",,,Notarial sale contract of a vineyard.,,,1900-11-05,SALT Research,Yunanca - Greek,Belge - Document,30-20 cm; Handwritten,3,,,66036,UMITS,,20.10.2009,,20.10.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30353
123456789/30354,"City, Society, and Economy / Households and Families / Hüdaizâde / Documents",AFMHZDOC019,"Ahmet Aga Palazis, inhabitant of Iraklio, sells to Moula Mustafa Hudaydakis a house for the price of 1, 440 golden drachmes. The house is situated at the neighbourhood Yeni Tzami of Iraklio.",,,,Open Access,,,,Notarial sale contract of a house.,,,1904-04-25,SALT Research,Yunanca - Greek,Belge - Document,30-20 cm; Handwritten,3,,,66040,UMITS,,20.10.2009,,20.10.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30354
123456789/30355,"City, Society, and Economy / Households and Families / Hüdaizâde / Documents",AFMHZDOC024,"Zehra Hanoum, daughter of Hamza Efendi Hatzi Kapota and wife of Roustem Efendi Serifalaki, former inhabitant of Iraklio and now inhabitant of Usak of Anatolia, sells to Mustafa Hudaydakis her parts of two shops for the price of 430 drachmes.",,,,Open Access,The shops are situated at the Markets Sevri Tsesme and Platia Strata.,,,Notarial sale contract of shops.,,,1906-09-12,SALT Research,Yunanca - Greek,Belge - Document,30-20 cm; Handwritten,4,,,66045,UMITS,,20.10.2009,,20.10.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30355
123456789/30356,"City, Society, and Economy / Households and Families / Hüdaizâde / Documents",AFMHZDOC027,"Zeynep Hatzalopoula, inhabitant of Iraklio, sells to her brother, Nuri Hatzalaki, 1/4 of a house which is held in common. The part of 1/4 contains her own original part together with the inheritance of their deceased brother, Ibraim Hatzalaki.",,,,Open Access,,,,Notarial sale contract of 1/4 of a house.,,,1911-09-16,SALT Research,Yunanca - Greek,Belge - Document,30-20 cm; Handwritten,4,,,66048,UMITS,,20.10.2009,,20.10.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30356
123456789/30357,"City, Society, and Economy / Households and Families / Hüdaizâde / Documents",AFMHZDOC028,"Ibraim Tsaousakis, son of the Muezzin Ahmet Tsaousaki, donates to his daughter, Heybeti Tsaousopoula, divorced wife of Ali Makarounaki, a house whose worth is 400 drachmes. The house is located at the neighbourhood Balta Tzamis of Iraklio.",,,,Open Access,The house will be delivered to the full ownership of the aforementioned Heybet after the death of the donator.,,,Notarial donation contract of a house.,,,1911-10-14,SALT Research,Yunanca - Greek,Belge - Document,30-20 cm; Handwritten,4,,,66049,UMITS,,20.10.2009,,20.10.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30357
123456789/30358,"City, Society, and Economy / Households and Families / Hüdaizâde / Documents",AFMHZDOC031,"Elatives council of orphans of deceased Zeynep Alopoula, decides that their father, Mustafa Hudaydakis, is set proxy of his children and that, after his request, a special proxy is set for delivery to them of his inherited property of his deceased wife.",,,,Open Access,"The relatives council approves of his request and Halil Yunusakis is set as special proxy for the acceptance of the donation. President of the relatives council was the supervisor of the orphans properties of the prefecture of Iraklio, Mihri Bey Kudsizade",,,,,,1914-03-01,SALT Research,Yunanca - Greek,Belge - Document,30-20 cm; Handwritten,4,,,66052,UMITS,,20.10.2009,,20.10.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30358
123456789/30359,"City, Society, and Economy / Households and Families / Hüdaizâde / Documents",AFMHZDOC048,"Hatitze, daughter of Vayram Katarzaki, widow of deceased Mustafa Hudaydaki or Kapotaki and wife of Mehmet Memisanaki, declares that she accepts as legal public will of deceased, registered on the 17th of August 1915 by the Notary Christoforos Geogiadis.",,,,Open Access,"In the aforementioned will it is declared that the aforementioned deceaseds children, Mehmet and Yadikar, are set as his only inheritors.",,,Notarial act of acceptance of will.,,,1922-03-14,SALT Research,Yunanca - Greek,Belge - Document,30-20 cm; Handwritten,3,,,66069,UMITS,,20.10.2009,,20.10.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30359
123456789/30360,"City, Society, and Economy / Households and Families / Hüdaizâde / Documents",AFMHZDOC050,Mehmet Hudaydakis rents to Odyssea Ioannou Petsoni a house situated at the neighbourhood Balta Tzami for one year starting from 1.10.1922 for a monthly rent of 150 drachmes. Emmanouil Skoulas is set guarantor for the rentor.,,,,Open Access,,,,Notarial rent contract for a house.,,,1922-09-15,SALT Research,Yunanca - Greek,Belge - Document,30-20 cm; Handwritten,3,,,66071,UMITS,,20.10.2009,,20.10.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30360
123456789/30361,"City, Society, and Economy / Households and Families / Hüdaizâde / Documents",AFMHZDOC067,"Declaration of property to the Mixed Committee of Exchange of Populations formed for the implementation of the provisions of The Lauzanne Treaty from the part Mehmet Hudaydakis, resident of Iraklio.",,,,Open Access,,,,Mixed commity of exchange of populations.,,,,SALT Research,Yunanca - Greek; Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,32-22 cm; Handwritten; Printed,5,,,66088,UMITS,,20.10.2009,,20.10.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30361
123456789/30362,"City, Society, and Economy / Households and Families / Hüdaizâde / Documents",AFMHZDOC068,"Calculation and adding of values of real estate in draft of a total sum of 1, 961 drachmes.",,,,Open Access,,,,Draft values calculation.,,,,SALT Research,Yunanca - Greek,Belge - Document,21-18 cm; Handwritten,2,,,66089,UMITS,,20.10.2009,,20.10.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30362
