handle,dc.collection,dc.identifier,dc.title,dc.creator,dc.publisher,dc.contributor,dc.rights,dc.description,dc.coverage.spatial,dc.coverage.temporal,dc.note,dc.note.internal,dc.relation.other,dc.date.issued,dc.location,dc.language,dc.type,dc.format,dc.format.numberofscans,dc.format.numberofpages,dc.identifier.projectcode,dc.identifier.other,dc.catalogedby,dc.validatedby,dc.date.cataloged,dc.date.validated,dc.date.acquisition,dc.subject,dc.source,dc.relation,dc.rights.holder,dc.provenance,dcterms.accrualMethod,URL
123456789/30373,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC001,Şerbetçizade Hüseyin Galib ve Şürekası Ali Vafi İzmir Şirketi’nden Dersaadet’de tüccar-ı mutebereden Ali Vafi mahdumlarına gönderilen üzüm siparişi ile ilgili mektup.,,,,Open Access,,,,19 Temmuz 1340,,,1924-07-19,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28-22,5 cm; Handwritten; Printed",1,,,45388,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30373
123456789/30374,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC002,Şerbetçizade Hüseyin Galib ve Şürekası Ali Vafi İzmir Şirketi’nden Dersaadet’de tüccar-ı mutebereden Ali Vafi mahdumlarına gönderilen zeytinyağı fiyatlarıyla ilgili mektup.,,,,Open Access,,,,2 Kanun-i Sani 1340,,,1924-01-02,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,27-21 cm; Handwritten; Printed,1,,,45389,Hilal Aktaş Şentürk,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30374
123456789/30375,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC003,Şerbetçizade Hüseyin Galib ve Şürekası Ali Vafi İzmir Şirketi’nden Dersaadet’de tüccar-ı mutebereden Ali Vafi mahdumlarına gönderilen zeytinyağı alımı ve fiyatlarıyla ilgili mektup.,,,,Open Access,,,,29 Temmuz 1340,,,1924-07-29,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28-22,5 cm; Handwritten; Printed",1,,,45390,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30375
123456789/30376,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC018,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, Nazıl ve Hasan Natık Efendi ile gönderilen parayı hesaplarına geçirdiklerini belirten mektup.",,,,Open Access,Mektupta ayrıca zeytinyağı fiyatlarına da değinilmiştir.,,,,,,1928-02-19,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"27,5-21,5 cm; Handwritten; Printed",1,,,45405,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30376
123456789/30377,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC027,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, hemşerileri Fatma Hanım’ın siparişleri olduğunu ve parasının hesaplarına yattığına dair mektup.",,,,Open Access,,,,,,,1928-10-07,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22 cm; Handwritten; Printed",1,,,45414,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30377
123456789/30378,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC029,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, Rus vapurlarına yüklenecek otuz çuval üzümü bildiren mektup.",,,,Open Access,,,,,,,1928-10-20,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22 cm; Handwritten; Printed",1,,,45416,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30378
123456789/30379,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC031,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, incirlerin ilk vapura yetiştirilmesine gayret edildiğine dair mektup.",,,,Open Access,,,,,,,1928-10-24,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22,5 cm; Handwritten; Printed",1,,,45418,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30379
123456789/30380,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC038,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, incirler hakkında bilgi veren mektup.",,,,Open Access,,,,,,,1928-12-30,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22 cm; Handwritten; Printed",1,,,45425,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30380
123456789/30381,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC040,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, pamukların teslim edildiğini haber veren mektup.",,,,Open Access,,,,,,,1929-01-03,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22 cm; Handwritten; Printed",1,,,45427,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30381
123456789/30382,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC050,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, yağmur yağdığı için ağaçtaki malların (incir) mahv olduğunu haber veren mektup.",,,,Open Access,,,,,,,1930-09-25,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22,5 cm; Handwritten; Printed",1,,,45437,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30382
123456789/30383,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC054,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, ikinci parti Valex’in evvelkinden farklı olduğunu bildiren mektup.",,,,Open Access,,,,,,,1930-10-19,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22,5 cm; Handwritten; Printed",1,,,45441,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30383
123456789/30384,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC057,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, gümrükte sorun olduğundan üzüm fiyatları arttığından incire rağbet olduğunu bildiren mektup.",,,,Open Access,,,,,,,1930-11-15,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22,5 cm; Handwritten; Printed",1,,,45444,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30384
