handle,dc.collection,dc.identifier,dc.title,dc.creator,dc.publisher,dc.contributor,dc.rights,dc.description,dc.coverage.spatial,dc.coverage.temporal,dc.note,dc.note.internal,dc.relation.other,dc.date.issued,dc.location,dc.language,dc.type,dc.format,dc.format.numberofscans,dc.format.numberofpages,dc.identifier.projectcode,dc.identifier.other,dc.catalogedby,dc.validatedby,dc.date.cataloged,dc.date.validated,dc.date.acquisition,dc.subject,dc.source,dc.relation,dc.rights.holder,dc.provenance,dcterms.accrualMethod,URL
123456789/7419,"City, Society, and Economy / Institutions / Italian Embassy / Consulate / Accounting Office",ITCNM014,Cassa No. 2 contenente la somma della cassa del Consolato - Konsolosluk nakit yekununu içerir nakit defteri No. 2,,,,Open Access,,,,,,,1913-09-19; 1919-03-17,SALT Research,İtalyanca - Italian,Defter - Register,20-25 cm; Handwritten,136,,,45253,Hilal Aktaş,,30.06.2009,,30.06.2009,,,,SALT Research,,Purchase,https://archives.saltresearch.org/handle/123456789/7419
123456789/12863,"City, Society, and Economy / Institutions / Italian Embassy / Consulate / Accounting Office",ITCNM007,Registro d'amministrazione della tutela severino rocchetti contenete le spese della tutela - Muhafız gücünün masraflarını içerir Severino Rocchetti'ye ait muhafız gücünün idaresi defteri,,,,Open Access,,,,Ha la coperta - Kapağı var.,,,1871-06-02; 1874-06-30,SALT Research,İtalyanca - Italian,Defter - Register,"19,5-27 cm; Handwritten",48,,,45246,Hilal Aktaş,,30.06.2009,,30.06.2009,,,,SALT Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12863
123456789/12864,"City, Society, and Economy / Institutions / Italian Embassy / Consulate / Accounting Office",ITCNM015,Brutta copia contenete un breve tema sulla contabilita - Muhasebecilik üzerine kısa bir metin içeren müsvedde defteri,,,,Open Access,,,,,,,,SALT Research,İtalyanca - Italian,Defter - Register,15-19 cm; Handwritten,90,,,45254,Hilal Aktaş,,30.06.2009,,30.06.2009,,,,SALT Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12864
123456789/12865,"City, Society, and Economy / Institutions / Italian Embassy / Consulate / Accounting Office",ITCNM017,Registro degli stipendi e delle paghe del Consolato - Konsolosluk maaş ve ödeme defteri,,,,Open Access,,,,Mancano le pagine 1- 77 - 1 - 77 arası sayfalar eksik. HA LA COPERTA-KAPAĞI VAR.,,,1915; 1915,SALT Research,İtalyanca - Italian,Defter - Register,"19,5-28,5 cm; Handwritten",,,,45256,Hilal Aktaş,,30.06.2009,,30.06.2009,,,,SALT Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12865
123456789/12866,"City, Society, and Economy / Institutions / Italian Embassy / Consulate / Accounting Office",ITCNM019,Registro di contabilità del Consolato - Konsolosluk muhasebe defteri,,,,Open Access,,,,Ha la coperta - Kapağı var.,,,1919-05; 1920-07,SALT Research,İtalyanca - Italian,Defter - Register,24-36 cm; Handwritten,73,,,45258,Hilal Aktaş,,30.06.2009,,30.06.2009,,,,SALT Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12866
123456789/13077,"City, Society, and Economy / Institutions / Italian Embassy / Consulate / Accounting Office",ITCNM004,Registro dei conti di lavori artigianali fatti per il consolato - Konsolosluk için yapılan usta işlerinin hesap defteri,,,,Open Access,,,,Ha la coperta - Kapağı var.,,,,SALT Research,İtalyanca - Italian,Defter - Register,"15,5-21 cm; Handwritten",67,,,45243,Hilal Aktaş,,30.06.2009,,30.06.2009,,,,SALT Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13077
123456789/13078,"City, Society, and Economy / Institutions / Italian Embassy / Consulate / Accounting Office",ITCNM016,Registro degli stipendi e delle paghe del Consolato - Konsolosluk maaş ve ödeme defteri,,,,Open Access,,,,Ha la coperta - Kapağı var.,,,1915; 1918,SALT Research,İtalyanca - Italian,Defter - Register,"17,5-20 cm; Handwritten",71,,,45255,Hilal Aktaş,,30.06.2009,,30.06.2009,,,,SALT Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13078
123456789/13101,"City, Society, and Economy / Institutions / Italian Embassy / Consulate / Accounting Office",ITCNM001,Registro di numero dei giorni di lavaro degli operai - İşçilerin iş günü sayısı defteri,,,,Open Access,,,,Ha la coperta - Kapağı var.,,,,SALT Research,İtalyanca - Italian,Defter - Register,16-23 cm; Handwritten,28,,,45240,Hilal Aktaş,,24.06.2009,,24.06.2009,,,,SALT Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13101
123456789/13102,"City, Society, and Economy / Institutions / Italian Embassy / Consulate / Accounting Office",ITCNM005,Quaderno dei conti degli artigini Armeni -  Ermeni ustaların hesap defteri,,,,Open Access,,,,Ha la coperta - Kapağı var.,,,1864; 1864,SALT Research,Ermenice - Armenian,Defter - Register,17-24 cm; Handwritten,81,,,45244,Hilal Aktaş,,30.06.2009,,30.06.2009,,,,SALT Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13102
123456789/13103,"City, Society, and Economy / Institutions / Italian Embassy / Consulate / Accounting Office",ITCNM013,Riassunto delle pese mensili del personale del Consolato - Konsolosluk personelinin aylık masraf özetleri gösterir defter,,,,Open Access,,,,Ha la coperta - Kapağı var.,,,1914; 1915,SALT Research,İtalyanca - Italian,Defter - Register,15-21 cm; Handwritten,29,,,45252,Hilal Aktaş,,30.06.2009,,30.06.2009,,,,SALT Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13103
123456789/13140,"City, Society, and Economy / Institutions / Italian Embassy / Consulate / Accounting Office",ITCNM002,Registro di numero dei giorni di lavoro degli operai,,,,Open Access,Registro è brutta copia - Defter müsvedde niteliğindedir.,,,Ha la coperta - Cildi var.,,,,SALT Research,İtalyanca - Italian,Defter - Register,"17,5-23 cm; Handwritten",52,,,45241,Hilal Aktaş,,24.06.2009,,24.06.2009,,,,SALT Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13140
123456789/13141,"City, Society, and Economy / Institutions / Italian Embassy / Consulate / Accounting Office",ITCNM009,Registro de salari annuali dei guardiani ulla base di somma dei salari mensili - Aylık maaş toplamı üzerinden gardiyanların yıllık maaş defteri,,,,Open Access,,,,Ha la coperta - Cildi var.,,,1904-04-30; 1907-10-30,SALT Research,İtalyanca - Italian,Defter - Register,17-40 cm; Handwritten,114,,,45248,Hilal Aktaş,,30.06.2009,,30.06.2009,,,,SALT Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13141
