handle,dc.collection,dc.identifier,dc.title,dc.creator,dc.publisher,dc.contributor,dc.rights,dc.description,dc.coverage.spatial,dc.coverage.temporal,dc.note,dc.note.internal,dc.relation.other,dc.date.issued,dc.location,dc.language,dc.type,dc.format,dc.format.numberofscans,dc.format.numberofpages,dc.identifier.projectcode,dc.identifier.other,dc.catalogedby,dc.validatedby,dc.date.cataloged,dc.date.validated,dc.date.acquisition,dc.subject,dc.source,dc.relation,dc.rights.holder,dc.provenance,dcterms.accrualMethod,URL
123456789/197004,"City, Society, and Economy / Institutions / Miscellaneous / Booklets",AINAIBK001,"Ahmed Ihsan & Cie, Etablissement Typographique, Lithographique et de Relivre. Atelier de Zincographie. Atelier de Stéréotypie. Journal Illustré Servet-i Funoun XXI Année - Ahmed İhsan ve Şürekası, Matbaa-i Hâlik Osmanlı Şirketi. Servet-i Fünun 1328",,,,Open Access,"Fondateur: Ahmed Ihsan. Maison fondée en 1890. Sociétè Ottomane en Commandite par actions. Capital entiérement versé: Ltqs. 10.000 (Frcs. 230.000). Edition 1912, Constantinople, Nouri-Osmanié, Stamboul - Tarih-i tesisi: 1306, sahib ve müessisi Ahmed İhsan. Sermayesi: 10000 lira-i Osmani. Dersaadet'te Eski Mektep-i Mülkiye Karşısında müceddeden inşa olunan binada, 1328",İstanbul,,,,,1912,SALT Research,Fransızca - French; Osmanlı Türkçesi - Ottoman Turkish,Kitapçık - Booklet,"26-19,6 cm; Baskı, Siyah Beyaz - Print, Black & White",22,12,,130794,Masum Yıldız,,2019-05-00,,,Ahmed İhsan; Ahmet İhsan; Ahmed İhsan Matbaası,,,SALT Araştırma - SALT Research,,Satın alma - Purchase,https://archives.saltresearch.org/handle/123456789/197004
123456789/197005,"City, Society, and Economy / Institutions / Miscellaneous / Brochures",AINKYBR001,Karayolları faaliyetlerini açıklayan fotoğraflı broşür sayfaları,,,,Open Access,,,,,,,,SALT Research,,Broşür - Brochure,"24,2-11,8 cm; Baskı, Siyah Beyaz - Print, Black & White",6,6,,130800,Masum Yıldız,,2019-05-00,,,Karayolları; Highways,,,SALT Araştırma - SALT Research,,Satın alma - Purchase,https://archives.saltresearch.org/handle/123456789/197005
123456789/112989,"City, Society, and Economy / Institutions / Miscellaneous / Photograph Albums",AHTURAL001,Halkbank Türkiye şube binaları ve inşaat özellikleri fotoğraf albümü,,,,Open Access,"Halkbank Acıpayam, Adağazarı, Ahlât, Ardahan, Afyon, Akçaabat, Aydın, Antalya, Amasya, Artvin, Adana, Ağrı, Bandırma, Bilecik, Bingöl, Bitlis, Bor, Burhaniye, Beypazarı, Balıkesir, Ulus/Ankara, Eskişehir San. Sit., Yenimahalle/Ankara Şubesi, Sivas San. Sit. şubeleri hizmet binası fotoğrafları ve tanımları.",,,,,,,SALT Research,Türkçe - Turkish,Albüm - Album,"32-37,5 cm; Handwritten-Printed-Black&White",29,17,,83089,Sinem Gülmez,,2012-12-06,,2012-12-04,Halkbankası şubeleri; Türkiye - Branches of the Halkbank; Turkey,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/112989
123456789/103262,"City, Society, and Economy / Institutions / Miscellaneous / Photograph Albums",AHTURAL002,Halkbank Türkiye şube binaları ve inşaat özellikleri fotoğraf albümü,,,,Open Access,"Halkbank Gümüşhacıköy, Gaziantep, Ilgaz, Kahramanmaraş, Karabük, Kastamonu, Kayseri, Kars, Kırklareli, Kırıkkale, Kırıkhan, Kırşehir, Kocaeli, Konya Kozaklı, Kütahya, Malatya, Manisa, Manyas, Merzifon şubeleri hizmet binası fotoğrafları ve tanımları.",,,,,,,SALT Research,Türkçe - Turkish,Albüm - Album,"30,7-34,8 cm; Handwritten-Printed-Black&White",25,14,,83090,Sinem Gülmez,,2012-12-06,,2012-12-04,Halkbankası şubeleri; Türkiye - Branches of the Halkbank; Turkey,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/103262
123456789/122976,"City, Society, and Economy / Institutions / Miscellaneous / Photograph Albums",AHTURAL003,Halkbank Türkiye şube binaları ve inşaat özellikleri fotoğraf albümü,,,,Open Access,"Halkbank Mersin, Muğla, Manavgat, Mardin, Nevşehir, Niğde, Ortaköy/Niğde, Ordu, Pazaryeri, Pınarbaşı, Pınarhisar, Refahiye, Rize, Siirt, Sarıgöl, Sarıkamış, Samsun, Sultanhisar, Sivas şubeleri hizmet binası fotoğrafları ve tanımları.",,,,,,,SALT Research,Türkçe - Turkish,Albüm - Album,"33,1-37,4 cm; Handwritten-Printed-Black&White",22,13,,83091,Sinem Gülmez,,2012-12-06,,2012-12-04,Halkbankası şubeleri; Türkiye - Branches of the Halkbank; Turkey,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/122976
123456789/121977,"City, Society, and Economy / Institutions / Miscellaneous / Photograph Albums",AHTURAL004,Halkbank Türkiye şube binaları ve inşaat özellikleri fotoğraf albümü,,,,Open Access,"Halkbank Tekirdağ, Tokat, Uluborlu, Urfa, Uşak, Ünye, Yatağan, Yenihal/Mersin, Yozgat, Espiye, Söke şubeleri hizmet binası fotoğrafları ve tanımları.",,,,,,,SALT Research,Türkçe - Turkish,Albüm - Album,"33,2-37,2 cm; Handwritten-Printed-Black&White",14,9,,83092,Sinem Gülmez,,2012-12-06,,2012-12-04,Halkbankası şubeleri; Türkiye - Branches of the Halkbank; Turkey,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/121977
123456789/195733,"City, Society, and Economy / Institutions / Miscellaneous / Photographs",AINTTCH001,"""Türkiye Tiftik Cemiyeti (934) senesi kongre heyeti umumi ictimadan dağılırken""","Foto Aile, Ahmet Mahir, Ankara, Saman Pazarı",,,Open Access,,Ankara,,,,,1934,SALT Research,Türkçe - Turkish,Fotoğraf - Photograph,"26,5-33,6 cm; Baskı, Siyah Beyaz - Print, Black & White",1,1,,128270,Masum Yıldız,,2019-04-00,,2017-12-08,Türkiye Tiftik Cemiyeti; Turkey Mohair Society; TTC; T.T.C.,,,SALT Araştırma - SALT Research,,Satın alma - Purchase,https://archives.saltresearch.org/handle/123456789/195733
123456789/195734,"City, Society, and Economy / Institutions / Miscellaneous / Photographs",AINTTCH002,"""Şefaatli'de ot deposu""",,,,Open Access,,"Şefaatli, Yozgat",1930'lar - 1930's,,,,,SALT Research,Türkçe - Turkish,Fotoğraf - Photograph,"35,8-26,7 cm; Baskı, Siyah Beyaz - Print, Black & White",1,1,,128270,Masum Yıldız,,2019-04-00,,2017-12-08,Türkiye Tiftik Cemiyeti; Turkey Mohair Society; TTC; T.T.C.,,,SALT Araştırma - SALT Research,,Satın alma - Purchase,https://archives.saltresearch.org/handle/123456789/195734
123456789/195735,"City, Society, and Economy / Institutions / Miscellaneous / Photographs",AINTTCH003,"""Türkiye Tiftik Cemiyeti'nin numune çiftliğinde davar banyosu""","Foto Hilal, İ. Remzi, Ankara, Anafartalar Cad.",,,Open Access,"Fotoğrafın ön yüzü - Front side of the photograph: ""Hayvanat banyosu""",Ankara,1930'lar - 1930's,,,,,SALT Research,Türkçe - Turkish,Fotoğraf - Photograph,"33,3-29,1 cm; 33,2-26,5 cm; Baskı, Siyah Beyaz - Print, Black & White",2,2,,128270,Masum Yıldız,,2019-04-00,,2017-12-08,Türkiye Tiftik Cemiyeti; Turkey Mohair Society; TTC; T.T.C.,,,SALT Araştırma - SALT Research,,Satın alma - Purchase,https://archives.saltresearch.org/handle/123456789/195735
123456789/195736,"City, Society, and Economy / Institutions / Miscellaneous / Photographs",AINTTCH004,Türkiye Tiftik Cemiyeti kongre heyeti - Turkey Mohair Society committee of congress,"Foto Hilal, İ. Remzi, Ankara, Bankalar Caddesi",,,Open Access,,Ankara,1930'lar - 1930's,,,,,SALT Research,Türkçe - Turkish,Fotoğraf - Photograph,"32,9-26,6 cm; Baskı, Siyah Beyaz - Print, Black & White",1,1,,128270,Masum Yıldız,,2019-04-00,,2017-12-08,Türkiye Tiftik Cemiyeti; Turkey Mohair Society; TTC; T.T.C.,,,SALT Araştırma - SALT Research,,Satın alma - Purchase,https://archives.saltresearch.org/handle/123456789/195736
123456789/195737,"City, Society, and Economy / Institutions / Miscellaneous / Photographs",AINTTCH005,Türkiye Tiftik Cemiyeti kongre heyeti - Turkey Mohair Society committee of congress,"Foto Hilal, İ. Remzi, Ankara, Anafartalar Cad.",,,Open Access,,Ankara,1930'lar - 1930's,,,,,SALT Research,Türkçe - Turkish,Fotoğraf - Photograph,"33,1-26,5 cm; Baskı, Siyah Beyaz - Print, Black & White",1,1,,128270,Masum Yıldız,,2019-04-00,,2017-12-08,Türkiye Tiftik Cemiyeti; Turkey Mohair Society; TTC; T.T.C.,,,SALT Araştırma - SALT Research,,Satın alma - Purchase,https://archives.saltresearch.org/handle/123456789/195737
123456789/195738,"City, Society, and Economy / Institutions / Miscellaneous / Photographs",AINTTCH006,"""Türkiye Tiftik Cemiyeti (934) senesi kongre heyeti umumi hali ictimada""",,,,Open Access,,Ankara,,,,,1934,SALT Research,Türkçe - Turkish,Fotoğraf - Photograph,"33,7-26,6 cm; Baskı, Siyah Beyaz - Print, Black & White",1,1,,128270,Masum Yıldız,,2019-04-00,,2017-12-08,Türkiye Tiftik Cemiyeti; Turkey Mohair Society; TTC; T.T.C.,,,SALT Araştırma - SALT Research,,Satın alma - Purchase,https://archives.saltresearch.org/handle/123456789/195738
123456789/195739,"City, Society, and Economy / Institutions / Miscellaneous / Photographs",AINTTCH007,"""Numune ağılı ve ot deposu""",,,,Open Access,,,,,,,,SALT Research,Türkçe - Turkish,Fotoğraf - Photograph,"34,1-26,4 cm; Baskı, Siyah Beyaz - Print, Black & White",1,1,,128270,Masum Yıldız,,2019-04-00,,2017-12-08,Türkiye Tiftik Cemiyeti; Turkey Mohair Society; TTC; T.T.C.,,,SALT Araştırma - SALT Research,,Satın alma - Purchase,https://archives.saltresearch.org/handle/123456789/195739
