handle,dc.collection,dc.identifier,dc.title,dc.creator,dc.publisher,dc.contributor,dc.rights,dc.description,dc.coverage.spatial,dc.coverage.temporal,dc.note,dc.note.internal,dc.relation.other,dc.date.issued,dc.location,dc.language,dc.type,dc.format,dc.format.numberofscans,dc.format.numberofpages,dc.identifier.projectcode,dc.identifier.other,dc.catalogedby,dc.validatedby,dc.date.cataloged,dc.date.validated,dc.date.acquisition,dc.subject,dc.source,dc.relation,dc.rights.holder,dc.provenance,dcterms.accrualMethod,URL
123456789/94096,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00009,Yeşua A. Alçe. Ecza Deposu - Jessua A. Altcheh. Droguerie et Accessoires Pharmaceutiques,,,,Open Access,"İstanbul, Bağçe Kapu Yaldız Sokak Numero 1",,,"Osmanlıca, Fransızca antet",Yusuf Levent bağışı. 14.05.07,,1926-07-02,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"19,2-26,4 cm",1,,,44741,UMITS,,14.08.2008,,14.08.2008,,,,,,Donation,https://archives.saltresearch.org/handle/123456789/94096
123456789/94097,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00012,"Salomon M. Benbasat. İdhalat, ihracat, ıtriyat, alat-ı cerahiye vesaire - Salomon M. Benbassat. Import-export, parfumerie, accessoires de pharmacie, instruments, etc.",,,,Open Access,"İstanbul, Bağçe Kapu Şirin Han Numero 2",,,"Osmanlıca, Fransızca antet",Yusuf Levent bağışı. 14.05.07,,1927-07-05,SALT Research,Fransızca - French,Belge - Document,"21,5-27,6 cm",2,,,44744,UMITS,,14.08.2008,,14.08.2008,,,,,,Donation,https://archives.saltresearch.org/handle/123456789/94097
123456789/94098,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00018,Moiz Babani. Altun Kadef Mağazasi - Moise Babani. à la Coupe d'Or,,,,Open Access,"Galata Yeni Cami Numero 4, Şubesi Numero 71",,,"Osmanlıca, Fransızca, İbranice, Yunanca, Ermenice antet",Yusuf Levent bağışı. 14.05.07,,1922-01-10,SALT Research,Fransızca - French,Belge - Document,"19,9-27,9 cm",1,,,44750,UMITS,,14.08.2008,,14.08.2008,,,,,,Donation,https://archives.saltresearch.org/handle/123456789/94098
123456789/94099,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00027,"Sabetay Kohen Mahdumu ve Şürekası. Her nevi Makara İplik ve Hırdavat Mağazası - Sabetai Cohen Fils & Cie. Mercerie, Fils De Coton Etc",,,,Open Access,İstanbul Marputçular Numero 28,,,"Osmanlıca, Fransızca antet",Yusuf Levent bağışı. 14.05.07,,1928-04-23,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"19,3-26,9 cm",1,,,44759,UMITS,,14.08.2008,,14.08.2008,,,,,,Donation,https://archives.saltresearch.org/handle/123456789/94099
123456789/94100,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00045,Robert Heli. Şemsiye fabrikası - Robert Heli. Fabrique de parapluies,,,,Open Access,İstanbul Sultanhamam Messadet Han altında 40,,,"Osmanlıca, Fransızca antet",Yusuf Levent bağışı. 14.05.07,,,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"21,3-26,9 cm",1,,,44777,UMITS,,15.08.2008,,15.08.2008,,,,,,Donation,https://archives.saltresearch.org/handle/123456789/94100
123456789/94101,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00068,Orphelinat National Israélite,,,,Open Access,"Taş Merdiven, Ortakeuy",,,Fransızca antet,Yusuf Levent bağışı. 14.05.07,,1923-06-27,SALT Research,Fransızca - French,Belge - Document,"15,4-23,4 cm",1,,,44800,UMITS,,25.08.2008,,25.08.2008,,,,,,Donation,https://archives.saltresearch.org/handle/123456789/94101
123456789/94102,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00080,"Albert Siyon ve Biraderi. Her nevi cam, ayna, kristal, korniç ve edavat zücaciye mağazası - Albert Sion & Frère. maison de verres à vitre, verres speciaux, glaces polies et argentées",,,,Open Access,"İstanbul, Çiçek Pazar Numero 35-31-29-19",,,"Osmanlıca, Fransızca antet",Yusuf Levent bağışı. 14.05.07,,1924-02-06,SALT Research,Fransızca - French,Belge - Document,"20,3-28,5 cm",1,,,44812,UMITS,,25.08.2008,,25.08.2008,,,,,,Donation,https://archives.saltresearch.org/handle/123456789/94102
123456789/94103,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00081,Sisa Biraderler. Ecza deposu - Sissa Frères. Droguerie & Produits chimiques en gros et en détail,,,,Open Access,Dersaadet Bağçe Kapu Yeni Volto Han yanında,,,"Osmanlıca, Fransızca antet",Yusuf Levent bağışı. 14.05.07,,1926-09-23,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"17,4-22,7 cm",2,,,44813,UMITS,,25.08.2008,,25.08.2008,,,,,,Donation,https://archives.saltresearch.org/handle/123456789/94103
123456789/94104,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00082,Kohen Taranto ve Şürekası. Çorap ve fanila fabrikası - Cohen Taranto & Cie. Fabrique de bas & flanelles,,,,Open Access,İzmir'de Ayayorgi Sokağı’nda ve Irgad Pazarı’nda,,,"21 Kanun-i Sani 1336. Osmanlıca, Fransızca, İbranice, Yunanca antet.",Yusuf Levent bağışı. 14.05.07,,1920-01-28,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"21,1-28,9 cm",1,,,44814,UMITS,,25.08.2008,,25.08.2008,,,,,,Donation,https://archives.saltresearch.org/handle/123456789/94104
123456789/94105,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00100,"Albert Bornstein & Josef Blau, Constantinople Şirketi’nden Ernst Wieseler, Leipzig adresine gönderilen zarf",,,,Open Access,"Stamboul, Altiparmakian Han, 24",,,Fiskalli,Yusuf Levent bağışı. 14.05.07,,1913-03-13,SALT Research,,Belge - Document,"15,5-12,4 cm",1,,,44832,UMITS,,26.08.2008,,26.08.2008,,,,,,Donation,https://archives.saltresearch.org/handle/123456789/94105
123456789/94106,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00104,"Ed. Kölle, Ferdinand Schmidt, Constantinople Şirketi’nden C. Holste & Cie, München adresine gönderilen zarf",,,,Open Access,,,,Fiskalli. 20 paralık pulda erör.,Yusuf Levent bağışı. 14.05.07,,1917-10-05,SALT Research,,Belge - Document,"15,4-12,3 cm",2,,,44836,UMITS,,26.08.2008,,26.08.2008,,,,,,Donation,https://archives.saltresearch.org/handle/123456789/94106
123456789/94107,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00112,"Alf. J. Abajoli & Cie [Librairie Abajoli], Smyrne şirketinden l & C Hardtmuth, Budoeiss adresine gönderilen zarf",,,,Open Access,,,,Fiskalli,Yusuf Levent bağışı. 14.05.07,,1916-10-19,SALT Research,,Belge - Document,"14,6-12,2 cm",2,,,44844,UMITS,,26.08.2008,,26.08.2008,,,,,,Donation,https://archives.saltresearch.org/handle/123456789/94107
123456789/94108,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00123,"Nesim Kazes ve mahdumları. Her nevi demir ve geniz boru ve edevatı, her zevat madeniyat, bakır çiviti. Kalay vesaire ticarethanesi. Kurşun boru imalathanesi - N. Cazes & Fils. Négociant en métaux",,,,Open Access,,,,,Yusuf Levent bağışı. 14.05.07,,1924-11-24,SALT Research,Fransızca - French; Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"12,9-10,3 cm",1,,,44855,UMITS,,26.08.2008,,26.08.2008,,,,,,Donation,https://archives.saltresearch.org/handle/123456789/94108
123456789/94109,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00124,İlyas Bronştayn mahdumu. Çuka ve Kazmir Mağazası - Elias Braunstein Fils. Dépôt de draps & nouvautés,,,,Open Access,İstanbul’da Sultan Hamamı’nda Hacopulo Hanı karşısında 11,,,,Yusuf Levent bağışı. 14.05.07,,1914-01-14,SALT Research,Fransızca - French; Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"14-9,5 cm",2,,,44856,UMITS,,26.08.2008,,26.08.2008,,,,,,Donation,https://archives.saltresearch.org/handle/123456789/94109
123456789/94110,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00131,Alaiyeli Zade Kadri ve Halim. İzmir - Haftalık piyasa listesi.,,,,Open Access,,,,,,,1924-12-06; 1924-12-13,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"17-20,5 cm; Handwritten; Printed",2,,,65852,HILALA,,13.07.2009,,13.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/94110
123456789/94111,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00137,Hüsni Nişati İzmir Şirketi’nin mektubu,,,,Open Access,,,,20 Ağustos 1341,,,1925-08-20,SALT Research,Fransızca - French; Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29-21,5 cm; Handwritten; Printed",1,,,65858,HILALA,,13.07.2009,,13.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/94111
123456789/94112,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00150,"G. ve A. Baker Ltd. tarafından Şişli Bulgar Hastanesi’ne gönderilen analitik miyarlar, kimya müstehzaratı ve mikroskopik endikatörler amili Hopkin and Williams Ltd. Fabrikası’nın Türkiye Mümessili olduklarına ve fiyat teklifi verebileceklerine dair mektup.",,,,Open Access,,,,"Prevuayans Han, Tahtakale, İstanbul.",2006 yılında Babil Sahaf tarafından bağışlanmıştır.,,1954-08-25,SALT Research,Türkçe - Turkish,Belge - Document,25-19 cm; Handwritten; Printed,1,,,66198,UMITS,,09.11.2009,,09.11.2009,Sağlık ve Sosyal Güvenlik Haftası,,,,,Donation,https://archives.saltresearch.org/handle/123456789/94112
123456789/94113,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00153,"Nowill, Pera. Sidney Nowill Şirketi tarafından Mehmed Sadık Bey adına kesilmiş fatura.",,,,Open Access,,,,"Pera, İstiklal Caddesi 293.",2006 yılında Babil Sahaf tarafından bağışlanmıştır.,,1931-03-26,SALT Research,Türkçe - Turkish,Belge - Document,28-22 cm; Handwritten; Printed,1,,,66201,UMITS,,09.11.2009,,09.11.2009,,,,,,Donation,https://archives.saltresearch.org/handle/123456789/94113
123456789/94114,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00155,Etablissements Orosdi-Back - Etablisman Orozdi Bak Ticarethanesi tarafından Mehmed Sadık Efendi adına kesilmiş fatura.,,,,Open Access,,,,1855 tarihinde müessis ticarethane.,2006 yılında Babil Sahaf tarafından bağışlanmıştır.,,1929-01-09,SALT Research,Osmanlı Türkçesi - Ottoman Turkish; Türkçe - Turkish,Belge - Document,"29-22,5 cm; Handwritten; Printed",2,,,66203,UMITS,,09.11.2009,,09.11.2009,,,,,,Donation,https://archives.saltresearch.org/handle/123456789/94114
123456789/94115,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00163,"Fratelli Cohen dédouanement-expédition, Stamboul. Facture à Mehmed Sadık.",,,,Open Access,,,,"Stamboul, Chaptchi Han 30.",2006 yılında Babil Sahaf tarafından bağışlanmıştır.,,1921-12-24,SALT Research,Fransızca - French,Belge - Document,"24-14,5 cm; Handwritten; Printed",1,,,66211,UMITS,,09.11.2009,,09.11.2009,,,,,,Donation,https://archives.saltresearch.org/handle/123456789/94115
123456789/94116,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00167,Hacı Halil mahdumu Ahmet Şükrü Baharat ve Sepet Ticarethanesi tarafından Kırtasiyeci Mehmed Sadık Efendi adına kesilmiş fatura.,,,,Open Access,,,,"Mısır Çarşısı, Hasırcılar Kapusu, N.3-5",2006 yılında Babil Sahaf tarafından bağışlanmıştır.,,1928-11-19,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"25,5-20,5 cm; Handwritten; Printed",1,,,66215,UMITS,,09.11.2009,,09.11.2009,,,,,,Donation,https://archives.saltresearch.org/handle/123456789/94116
123456789/94117,"City, Society, and Economy / Institutions / Trade Companies / Documents",AINDS00182,Cems Eskenazı her nevi kağıt ve mukavva deposu tarafından Mehmet Sadık Bey adına kesilmiş fatura.,,,,Open Access,,,,"Tahtakale, Telefon Şirketi karşısında, Boton Hanı’nda, no: 35",2006 yılında Babil Sahaf tarafından bağışlanmıştır.,,1928-10-23,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,28-20 cm; Handwritten; Printed,1,,,66230,UMITS,,09.11.2009,,09.11.2009,,,,,,Donation,https://archives.saltresearch.org/handle/123456789/94117
