handle,dc.collection,dc.identifier,dc.title,dc.creator,dc.publisher,dc.contributor,dc.rights,dc.description,dc.coverage.spatial,dc.coverage.temporal,dc.note,dc.note.internal,dc.relation.other,dc.date.issued,dc.location,dc.language,dc.type,dc.format,dc.format.numberofscans,dc.format.numberofpages,dc.identifier.projectcode,dc.identifier.other,dc.catalogedby,dc.validatedby,dc.date.cataloged,dc.date.validated,dc.date.acquisition,dc.subject,dc.source,dc.relation,dc.rights.holder,dc.provenance,dcterms.accrualMethod,URL
123456789/115264,"City, Society, and Economy / Institutions / Ziraat Bank",AINZB001,Aydın vilayetine tabii Çine kazası Nurdoğan Kasabası Ziraat Bankası sandık memuru İbrahim Edhem'in münşaatı.,,,,Open Access,,,,2 Şubat 1328 - 10 Şubat 1336,Nigar Sahaf bağışı,,1913-02-15; 1920-01-10,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Kitap - Book,"20,5-12,7 cm",114,,,44065,HILALA,,19.09.2007,,19.09.2007,,,,,,Donation,https://archives.saltresearch.org/handle/123456789/115264
123456789/197006,"City, Society, and Economy / Institutions / Ziraat Bank",AINZB002,"""T.C. Ziraat Bankası Mensucat Fabrikası Adana""",Fotoğraf - Photograph: Jean Weinberg,,,Open Access,,Adana,,,,,,SALT Research,Türkçe - Turkish,Albüm - Album,"19-12 cm; Baskı, Siyah Beyaz - Print, Black & White",21,20,,130804,Masum Yıldız,,2019-05-00,,,Fabrika; Factory; Ziraat; Agriculture; Dokuma; Weaving; İplikhane; Filature; Sanayi; Industry; Üretim; Production,,,SALT Araştırma - SALT Research,,Satın alma - Purchase,https://archives.saltresearch.org/handle/123456789/197006
123456789/197007,"City, Society, and Economy / Institutions / Ziraat Bank",AINZB003,""" Türkiye Ziraat Bankası Anonim Şirketi, Merkezi İdare Binası""",Fotoğraf - Photograph: Jean Weinberg,,,Open Access,,Ankara,,,,,,SALT Research,Türkçe - Turkish,Kitapçık - Booklet,"18,8-16,2 cm; Baskı, Siyah Beyaz - Print, Black & White",26,22,,130802,Masum Yıldız,,2019-05-00,,,Ziraat Bankası; Ziraat Bank; Banka; Bank; İç mekân; Interior,,,SALT Araştırma - SALT Research,,Satın alma - Purchase,https://archives.saltresearch.org/handle/123456789/197007
[DESC],AINZB003001.jpg,""" Türkiye Ziraat Bankası Anonim Şirketi, Merkezi İdare Binası""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[DESC],AINZB003015.jpg,"""Methal""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[DESC],AINZB003016.jpg,"""Merasim Merdiveni""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[DESC],AINZB003017.jpg,"""Holün Methali""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[DESC],AINZB003018.jpg,"""Hol""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[DESC],AINZB003019.jpg,"""Hol""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[DESC],AINZB003020.jpg,"""Hazine Dairesi""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[DESC],AINZB003021.jpg,"""Kiralık Kasa Dairesi""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[DESC],AINZB003022.jpg,"""Meclisi İdare""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[DESC],AINZB003023.jpg,"""Meclis Reisi Odası""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
